TrialName_1Enemy#0,"""$(0) 토벌"""
TrialBeginMsg_1Enemy#0,"""출현한 $(0) 쓰러뜨리기!"""
TrialAbstract_1Enemy#0,"""$(0) 쓰러뜨리기"""
TrialName_Multi#0,"""협동 에너미 토벌"""
TrialBeginMsg_Multi#0,"""2체의 에너미를 동시에 처치하라!"""
TrialAbstract_Multi#0,"""에너미를 동시에 처치하기"""
NpcComOnForetaste#0,"""＊＊相互蘇生トライアル予兆"""
NpcComOnBegin#0,"""여러 에너미의 반응을 확인했습니다!<br>각각의 에너미가 공명하고 있는 것 같습니다. 경계해주세요."""
NpcComOnBegin1#0,"""複数のエネミー反応を確認しました！<br>それぞれのエネミーが共鳴しているみたい。警戒してください。"""
NpcComOnSuccess#0,"""에너미의 소멸을 확인했습니다!<br>감사합니다."""
NpcComOnSuccess1#0,"""エネミーの殲滅を確認！<br>ありがとうございます。"""
NpcComOnFailure#0,"""어라라… 에너미가 철수했습니다.<br>마음을 가다듬고 다른 목표를 찾아보죠."""
NpcComOnFailure1#0,"""あらら……エネミーが撤退。<br>気を取り直して、別の目標を探しましょう。"""
NpcComOnDown#0,"""에너미가 활동을 멈췄습니다!<br>다른 한 마리를 노려주세요."""
NpcComOnResurrect#0,"""에너미가 활동을 재개했습니다!<br>공격에 주의하세요."""
